Title,track_id,artist,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
What's Going On,4RNHbYuRaZesMODlihhsUG,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,0.433,0.733,1,-9.244,0,0.0491,0.307,0.000144,0.0827,0.742,102.662,audio_features,4RNHbYuRaZesMODlihhsUG,spotify:track:4RNHbYuRaZesMODlihhsUG,https://api.spotify.com/v1/tracks/4RNHbYuRaZesMODlihhsUG,https://api.spotify.com/v1/audio-analysis/4RNHbYuRaZesMODlihhsUG,236467,4,r&b
Respect,7s25THrKz86DM225dOYwnr,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,audio_features,7s25THrKz86DM225dOYwnr,spotify:track:7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/tracks/7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/audio-analysis/7s25THrKz86DM225dOYwnr,147600,4,r&b
Let's Stay Together,63xdwScd1Ai1GigAwQxE8y,Al Green,3dkbV4qihUeMsqN4vBGg93,0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,audio_features,63xdwScd1Ai1GigAwQxE8y,spotify:track:63xdwScd1Ai1GigAwQxE8y,https://api.spotify.com/v1/tracks/63xdwScd1Ai1GigAwQxE8y,https://api.spotify.com/v1/audio-analysis/63xdwScd1Ai1GigAwQxE8y,199396,4,r&b
End Of The Road,3l3xTXsUXeWlkPqzMs7mPD,Boyz II Men,6O74knDqdv3XaWtkII7Xjp,0.64,0.427,5,-9.29,0,0.0241,0.0664,0.0,0.0579,0.529,149.703,audio_features,3l3xTXsUXeWlkPqzMs7mPD,spotify:track:3l3xTXsUXeWlkPqzMs7mPD,https://api.spotify.com/v1/tracks/3l3xTXsUXeWlkPqzMs7mPD,https://api.spotify.com/v1/audio-analysis/3l3xTXsUXeWlkPqzMs7mPD,351467,3,r&b
Rock with You - Single Version,7oOOI85fVQvVnK5ynNMdW7,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,audio_features,7oOOI85fVQvVnK5ynNMdW7,spotify:track:7oOOI85fVQvVnK5ynNMdW7,https://api.spotify.com/v1/tracks/7oOOI85fVQvVnK5ynNMdW7,https://api.spotify.com/v1/audio-analysis/7oOOI85fVQvVnK5ynNMdW7,220627,4,r&b
"It's A Man's, Man's, Man's World",6AIB4vBOGWM4FJ65yNWaXu,James Brown,7GaxyUddsPok8BuhxN6OUW,0.646,0.35,8,-11.539,0,0.0486,0.665,0.000122,0.0472,0.552,80.882,audio_features,6AIB4vBOGWM4FJ65yNWaXu,spotify:track:6AIB4vBOGWM4FJ65yNWaXu,https://api.spotify.com/v1/tracks/6AIB4vBOGWM4FJ65yNWaXu,https://api.spotify.com/v1/audio-analysis/6AIB4vBOGWM4FJ65yNWaXu,167067,3,r&b
Saving All My Love for You,1lx8ddGT5wCD6W2xmLeRKG,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,0.636,0.264,6,-14.567,0,0.0263,0.593,4.22e-05,0.275,0.264,99.304,audio_features,1lx8ddGT5wCD6W2xmLeRKG,spotify:track:1lx8ddGT5wCD6W2xmLeRKG,https://api.spotify.com/v1/tracks/1lx8ddGT5wCD6W2xmLeRKG,https://api.spotify.com/v1/audio-analysis/1lx8ddGT5wCD6W2xmLeRKG,238467,3,r&b
Superstition - Single Version,1h2xVEoJORqrg71HocgqXd,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,audio_features,1h2xVEoJORqrg71HocgqXd,spotify:track:1h2xVEoJORqrg71HocgqXd,https://api.spotify.com/v1/tracks/1h2xVEoJORqrg71HocgqXd,https://api.spotify.com/v1/audio-analysis/1h2xVEoJORqrg71HocgqXd,245493,4,r&b
We Belong Together,3LmvfNUQtglbTrydsdIqFU,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,0.837,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,audio_features,3LmvfNUQtglbTrydsdIqFU,spotify:track:3LmvfNUQtglbTrydsdIqFU,https://api.spotify.com/v1/tracks/3LmvfNUQtglbTrydsdIqFU,https://api.spotify.com/v1/audio-analysis/3LmvfNUQtglbTrydsdIqFU,201400,4,r&b
Close the Door,53m3UkzcaQVbB2DENsrJiK,Teddy Pendergrass,68kACMx6A3D2BYiO056MeQ,0.542,0.499,5,-10.423,0,0.0671,0.407,0.0005,0.0771,0.655,178.281,audio_features,53m3UkzcaQVbB2DENsrJiK,spotify:track:53m3UkzcaQVbB2DENsrJiK,https://api.spotify.com/v1/tracks/53m3UkzcaQVbB2DENsrJiK,https://api.spotify.com/v1/audio-analysis/53m3UkzcaQVbB2DENsrJiK,325493,4,r&b
I Wanna Be Your Lover,4yrM5BVyJzy5Ed4GPO6e8j,Prince,5a2EaR3hamoenG9rDuVn8j,0.812,0.507,1,-8.825,0,0.0452,0.0399,0.0831,0.0671,0.729,114.832,audio_features,4yrM5BVyJzy5Ed4GPO6e8j,spotify:track:4yrM5BVyJzy5Ed4GPO6e8j,https://api.spotify.com/v1/tracks/4yrM5BVyJzy5Ed4GPO6e8j,https://api.spotify.com/v1/audio-analysis/4yrM5BVyJzy5Ed4GPO6e8j,347667,4,r&b
Never Too Much,3nFJbZCHP4d9vduKjJLdBL,Luther Vandross,19y5MFBH7gohEdGwKM7QsP,0.734,0.586,2,-11.866,1,0.129,0.125,0.0,0.0367,0.762,109.933,audio_features,3nFJbZCHP4d9vduKjJLdBL,spotify:track:3nFJbZCHP4d9vduKjJLdBL,https://api.spotify.com/v1/tracks/3nFJbZCHP4d9vduKjJLdBL,https://api.spotify.com/v1/audio-analysis/3nFJbZCHP4d9vduKjJLdBL,230467,4,r&b
Ooo Baby Baby,3nsJGZ5RV2ZHkbKvD771gU,Smokey Robinson & The Miracles,6TKOZZDd5uV5KnyC5G4MUt,0.185,0.344,7,-9.378,1,0.0295,0.81,0.0,0.166,0.424,178.635,audio_features,3nsJGZ5RV2ZHkbKvD771gU,spotify:track:3nsJGZ5RV2ZHkbKvD771gU,https://api.spotify.com/v1/tracks/3nsJGZ5RV2ZHkbKvD771gU,https://api.spotify.com/v1/audio-analysis/3nsJGZ5RV2ZHkbKvD771gU,164160,3,r&b
