Title,track_id,artist,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
Theme From Shaft - Remastered 2009,7KMILVTQdVS4zQ8ilTcpRO,Isaac Hayes,3IKV7o6WPphDB7cCWXaG3E,0.487,0.716,9,-17.689,0,0.0463,0.233,0.00445,0.113,0.819,120.795,audio_features,7KMILVTQdVS4zQ8ilTcpRO,spotify:track:7KMILVTQdVS4zQ8ilTcpRO,https://api.spotify.com/v1/tracks/7KMILVTQdVS4zQ8ilTcpRO,https://api.spotify.com/v1/audio-analysis/7KMILVTQdVS4zQ8ilTcpRO,279200,4,r&b
Ain't No Sunshine,1k1Bqnv2R0uJXQN4u6LKYt,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,audio_features,1k1Bqnv2R0uJXQN4u6LKYt,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/tracks/1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/audio-analysis/1k1Bqnv2R0uJXQN4u6LKYt,125093,4,r&b
My Lovin' (You're Never Gonna Get It),3R97rNX7JnmshCWBwOSFet,En Vogue,5fikk4h5qbEebqK2Fc6e48,0.767,0.839,8,-5.519,1,0.0613,0.0318,9.31e-06,0.111,0.461,98.055,audio_features,3R97rNX7JnmshCWBwOSFet,spotify:track:3R97rNX7JnmshCWBwOSFet,https://api.spotify.com/v1/tracks/3R97rNX7JnmshCWBwOSFet,https://api.spotify.com/v1/audio-analysis/3R97rNX7JnmshCWBwOSFet,281613,4,r&b
Anytime,2gQ3lDcFYa3yFOkaw8PtuO,Brian McKnight,6k0IBR0lU42s2GYpNX7kA9,0.747,0.44,6,-8.463,1,0.0314,0.0188,0.000817,0.0397,0.507,129.834,audio_features,2gQ3lDcFYa3yFOkaw8PtuO,spotify:track:2gQ3lDcFYa3yFOkaw8PtuO,https://api.spotify.com/v1/tracks/2gQ3lDcFYa3yFOkaw8PtuO,https://api.spotify.com/v1/audio-analysis/2gQ3lDcFYa3yFOkaw8PtuO,273438,4,r&b
Purple Rain,54X78diSLoUDI3joC2bjMz,Prince,5a2EaR3hamoenG9rDuVn8j,0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,audio_features,54X78diSLoUDI3joC2bjMz,spotify:track:54X78diSLoUDI3joC2bjMz,https://api.spotify.com/v1/tracks/54X78diSLoUDI3joC2bjMz,https://api.spotify.com/v1/audio-analysis/54X78diSLoUDI3joC2bjMz,520787,4,r&b
Oh Girl,0cFlXjTxFdMGGPfLVpt3Wv,The Chi-Lites,7BFr36uI1dzJyo6tpa5Ued,0.418,0.402,10,-12.942,1,0.0288,0.226,0.0,0.103,0.601,133.683,audio_features,0cFlXjTxFdMGGPfLVpt3Wv,spotify:track:0cFlXjTxFdMGGPfLVpt3Wv,https://api.spotify.com/v1/tracks/0cFlXjTxFdMGGPfLVpt3Wv,https://api.spotify.com/v1/audio-analysis/0cFlXjTxFdMGGPfLVpt3Wv,216280,4,r&b
Think,4yQw7FR9lcvL6RHtegbJBh,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,0.687,0.63,6,-10.817,1,0.0389,0.251,0.0,0.221,0.926,110.051,audio_features,4yQw7FR9lcvL6RHtegbJBh,spotify:track:4yQw7FR9lcvL6RHtegbJBh,https://api.spotify.com/v1/tracks/4yQw7FR9lcvL6RHtegbJBh,https://api.spotify.com/v1/audio-analysis/4yQw7FR9lcvL6RHtegbJBh,139733,4,r&b
Get Ready,676Rf0qIOh2gKNEl9TnCOx,The Temptations,3RwQ26hR2tJtA8F9p2n7jG,0.59,0.737,7,-5.867,1,0.0384,0.404,0.0,0.108,0.877,132.966,audio_features,676Rf0qIOh2gKNEl9TnCOx,spotify:track:676Rf0qIOh2gKNEl9TnCOx,https://api.spotify.com/v1/tracks/676Rf0qIOh2gKNEl9TnCOx,https://api.spotify.com/v1/audio-analysis/676Rf0qIOh2gKNEl9TnCOx,164160,4,r&b
Before I Let Go,0QEebnjzgRsHR0lO6gHsn0,Maze & Frankie Beverly,3MDqYWedx5LR5f0jtPqT4g,0.803,0.511,6,-6.434,0,0.0365,0.108,1.97e-05,0.275,0.96,103.235,audio_features,0QEebnjzgRsHR0lO6gHsn0,spotify:track:0QEebnjzgRsHR0lO6gHsn0,https://api.spotify.com/v1/tracks/0QEebnjzgRsHR0lO6gHsn0,https://api.spotify.com/v1/audio-analysis/0QEebnjzgRsHR0lO6gHsn0,307267,4,r&b
Say My Name,7H6ev70Weq6DdpZyyTmUXk,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,0.713,0.678,5,-3.525,0,0.102,0.273,0.0,0.149,0.734,138.009,audio_features,7H6ev70Weq6DdpZyyTmUXk,spotify:track:7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/tracks/7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/audio-analysis/7H6ev70Weq6DdpZyyTmUXk,271333,4,r&b
The Way,49aUxrufliNDGj7MTm7pNU,Jill Scott,6AVLthptCPhfrxlHadOBJD,0.717,0.402,1,-9.712,1,0.0316,0.0187,0.0113,0.0994,0.453,140.418,audio_features,49aUxrufliNDGj7MTm7pNU,spotify:track:49aUxrufliNDGj7MTm7pNU,https://api.spotify.com/v1/tracks/49aUxrufliNDGj7MTm7pNU,https://api.spotify.com/v1/audio-analysis/49aUxrufliNDGj7MTm7pNU,255733,4,r&b
Boogie Nights,20zOIoex7YchUh87d8tlvg,Heatwave,6D7h7R79IZjqJC2GM2wzyY,0.62,0.54,4,-14.636,0,0.0422,0.349,2.53e-05,0.187,0.759,118.823,audio_features,20zOIoex7YchUh87d8tlvg,spotify:track:20zOIoex7YchUh87d8tlvg,https://api.spotify.com/v1/tracks/20zOIoex7YchUh87d8tlvg,https://api.spotify.com/v1/audio-analysis/20zOIoex7YchUh87d8tlvg,303533,4,r&b
Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,audio_features,32OlwWuMpZ6b0aN2RZOeMS,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,269667,4,r&b
Sweet Love,3Z6DV0jsGqCs4whsfda7lX,Anita Baker,46CH1Gp8l8QVly8bpG9JFG,0.504,0.728,10,-5.699,0,0.0234,0.36,0.0,0.159,0.683,89.255,audio_features,3Z6DV0jsGqCs4whsfda7lX,spotify:track:3Z6DV0jsGqCs4whsfda7lX,https://api.spotify.com/v1/tracks/3Z6DV0jsGqCs4whsfda7lX,https://api.spotify.com/v1/audio-analysis/3Z6DV0jsGqCs4whsfda7lX,266201,4,r&b
Mercy Mercy Me (The Ecology),1dnTzkUEdwm9jrmdpKSfWU,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,0.499,0.633,6,-12.145,0,0.0445,0.373,0.716,0.0876,0.474,93.238,audio_features,1dnTzkUEdwm9jrmdpKSfWU,spotify:track:1dnTzkUEdwm9jrmdpKSfWU,https://api.spotify.com/v1/tracks/1dnTzkUEdwm9jrmdpKSfWU,https://api.spotify.com/v1/audio-analysis/1dnTzkUEdwm9jrmdpKSfWU,196467,4,r&b
Can You Stand The Rain,1vbe9sh7U9vdMceAhitWr2,New Edition,1mFX1QlezK1lNPKQJkhwWb,0.614,0.369,8,-15.182,1,0.0353,0.678,0.00235,0.143,0.733,143.319,audio_features,1vbe9sh7U9vdMceAhitWr2,spotify:track:1vbe9sh7U9vdMceAhitWr2,https://api.spotify.com/v1/tracks/1vbe9sh7U9vdMceAhitWr2,https://api.spotify.com/v1/audio-analysis/1vbe9sh7U9vdMceAhitWr2,297707,4,r&b
Backstabbers,27Lq5qUuy2owCSotULgJCk,The O'Jays,38h03gA85YYPeDPd9ER9rT,0.63,0.846,11,-5.548,0,0.227,0.777,0.0,0.698,0.747,121.214,audio_features,27Lq5qUuy2owCSotULgJCk,spotify:track:27Lq5qUuy2owCSotULgJCk,https://api.spotify.com/v1/tracks/27Lq5qUuy2owCSotULgJCk,https://api.spotify.com/v1/audio-analysis/27Lq5qUuy2owCSotULgJCk,224000,3,r&b
You Send Me,0BFEyqJ9DJXS7gKg0Kj46R,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,0.553,0.291,4,-10.426,0,0.0301,0.878,0.0,0.129,0.407,96.217,audio_features,0BFEyqJ9DJXS7gKg0Kj46R,spotify:track:0BFEyqJ9DJXS7gKg0Kj46R,https://api.spotify.com/v1/tracks/0BFEyqJ9DJXS7gKg0Kj46R,https://api.spotify.com/v1/audio-analysis/0BFEyqJ9DJXS7gKg0Kj46R,165560,4,r&b
That's The Way Love Goes,29rQJydAlO0uMyWvRIZxQg,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,0.703,0.7,5,-6.789,1,0.0693,0.302,0.471,0.0718,0.582,97.675,audio_features,29rQJydAlO0uMyWvRIZxQg,spotify:track:29rQJydAlO0uMyWvRIZxQg,https://api.spotify.com/v1/tracks/29rQJydAlO0uMyWvRIZxQg,https://api.spotify.com/v1/audio-analysis/29rQJydAlO0uMyWvRIZxQg,265107,4,r&b
Celebration,3K7Q9PHUWPTaknlbFPThn2,Kool & The Gang,3VNITwohbvU5Wuy5PC6dsI,0.885,0.664,1,-11.795,1,0.0524,0.145,0.0483,0.0767,0.906,121.632,audio_features,3K7Q9PHUWPTaknlbFPThn2,spotify:track:3K7Q9PHUWPTaknlbFPThn2,https://api.spotify.com/v1/tracks/3K7Q9PHUWPTaknlbFPThn2,https://api.spotify.com/v1/audio-analysis/3K7Q9PHUWPTaknlbFPThn2,298867,4,r&b
Irreplaceable,6RX5iL93VZ5fKmyvNXvF1r,Beyoncé,6vWDO969PvNqNYHIOW5v0m,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46e-06,0.167,0.509,175.868,audio_features,6RX5iL93VZ5fKmyvNXvF1r,spotify:track:6RX5iL93VZ5fKmyvNXvF1r,https://api.spotify.com/v1/tracks/6RX5iL93VZ5fKmyvNXvF1r,https://api.spotify.com/v1/audio-analysis/6RX5iL93VZ5fKmyvNXvF1r,227853,4,r&b
Clean up Woman,6uqTETWok9npbL4c9cuLVh,Betty Wright,0PDqlUGugF5Jt6DZyATvfz,0.865,0.652,5,-9.046,1,0.143,0.566,0.000919,0.0833,0.829,90.081,audio_features,6uqTETWok9npbL4c9cuLVh,spotify:track:6uqTETWok9npbL4c9cuLVh,https://api.spotify.com/v1/tracks/6uqTETWok9npbL4c9cuLVh,https://api.spotify.com/v1/audio-analysis/6uqTETWok9npbL4c9cuLVh,169533,4,r&b
Tasty Love,58OEc1sLFqQFP14PqV9AEz,Freddie Jackson,2yaixhgm3yXxjhJAH8SZy3,0.763,0.282,1,-17.004,1,0.0555,0.108,0.0,0.0186,0.912,159.931,audio_features,58OEc1sLFqQFP14PqV9AEz,spotify:track:58OEc1sLFqQFP14PqV9AEz,https://api.spotify.com/v1/tracks/58OEc1sLFqQFP14PqV9AEz,https://api.spotify.com/v1/audio-analysis/58OEc1sLFqQFP14PqV9AEz,268493,4,r&b
September,7Cuk8jsPPoNYQWXK9XRFvG,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,audio_features,7Cuk8jsPPoNYQWXK9XRFvG,spotify:track:7Cuk8jsPPoNYQWXK9XRFvG,https://api.spotify.com/v1/tracks/7Cuk8jsPPoNYQWXK9XRFvG,https://api.spotify.com/v1/audio-analysis/7Cuk8jsPPoNYQWXK9XRFvG,215080,4,r&b
Un-Break My Heart,5Ihd9HrPvOADyVoonH9ZjB,Toni Braxton,3X458ddYA2YcVWuVIGGOYe,0.625,0.426,2,-8.4,0,0.0271,0.412,0.0,0.116,0.112,110.021,audio_features,5Ihd9HrPvOADyVoonH9ZjB,spotify:track:5Ihd9HrPvOADyVoonH9ZjB,https://api.spotify.com/v1/tracks/5Ihd9HrPvOADyVoonH9ZjB,https://api.spotify.com/v1/audio-analysis/5Ihd9HrPvOADyVoonH9ZjB,270333,4,r&b
Midnight Train to Georgia,7MF7QAodbGzNYav5ZfIhAY,Gladys Knight & The Pips,0TF2NxkJZPQoX1H53rEFM1,0.595,0.379,10,-12.058,0,0.0454,0.271,2.81e-05,0.1,0.448,92.006,audio_features,7MF7QAodbGzNYav5ZfIhAY,spotify:track:7MF7QAodbGzNYav5ZfIhAY,https://api.spotify.com/v1/tracks/7MF7QAodbGzNYav5ZfIhAY,https://api.spotify.com/v1/audio-analysis/7MF7QAodbGzNYav5ZfIhAY,279333,4,r&b
Umbrella,49FYlytm3dAAraYgpoJZux,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,audio_features,49FYlytm3dAAraYgpoJZux,spotify:track:49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/tracks/49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/audio-analysis/49FYlytm3dAAraYgpoJZux,275987,4,r&b
Feel Like Makin' Love,7gkboYtvhuXNS4EUwmFPcw,Roberta Flack,0W498bDDNlJIrYMKXdpLHA,0.681,0.264,8,-21.861,1,0.0309,0.833,0.441,0.103,0.692,93.809,audio_features,7gkboYtvhuXNS4EUwmFPcw,spotify:track:7gkboYtvhuXNS4EUwmFPcw,https://api.spotify.com/v1/tracks/7gkboYtvhuXNS4EUwmFPcw,https://api.spotify.com/v1/audio-analysis/7gkboYtvhuXNS4EUwmFPcw,175400,4,r&b
Can We Talk,6a5jHgwqYMk9wlYJYfs3c9,Tevin Campbell,5VfqJBmXcf6ZqXoGij5qTE,0.658,0.711,2,-7.424,0,0.0425,0.0759,1.77e-05,0.0446,0.614,172.365,audio_features,6a5jHgwqYMk9wlYJYfs3c9,spotify:track:6a5jHgwqYMk9wlYJYfs3c9,https://api.spotify.com/v1/tracks/6a5jHgwqYMk9wlYJYfs3c9,https://api.spotify.com/v1/audio-analysis/6a5jHgwqYMk9wlYJYfs3c9,284587,4,r&b
I Want You Back,5LxvwujISqiB8vpRYv887S,The Jackson 5,2iE18Oxc8YSumAU232n4rW,0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,audio_features,5LxvwujISqiB8vpRYv887S,spotify:track:5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/tracks/5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/audio-analysis/5LxvwujISqiB8vpRYv887S,176333,4,r&b
If You Don't Know Me by Now,0ahp2FHiAEuv9PCoPFuGLQ,Harold Melvin & The Blue Notes,438JBZR1AR0l04AzcYW9gy,0.367,0.465,11,-9.547,1,0.0357,0.721,0.000307,0.582,0.456,140.397,audio_features,0ahp2FHiAEuv9PCoPFuGLQ,spotify:track:0ahp2FHiAEuv9PCoPFuGLQ,https://api.spotify.com/v1/tracks/0ahp2FHiAEuv9PCoPFuGLQ,https://api.spotify.com/v1/audio-analysis/0ahp2FHiAEuv9PCoPFuGLQ,205907,3,r&b
You Make Me Wanna...,47TqCCnEliDp8NRDyIQoQq,USHER,23zg3TcAtWQy7J6upgbUnj,0.761,0.639,5,-7.577,0,0.0539,0.0359,0.0,0.0945,0.922,164.088,audio_features,47TqCCnEliDp8NRDyIQoQq,spotify:track:47TqCCnEliDp8NRDyIQoQq,https://api.spotify.com/v1/tracks/47TqCCnEliDp8NRDyIQoQq,https://api.spotify.com/v1/audio-analysis/47TqCCnEliDp8NRDyIQoQq,219120,4,r&b
I'm Still in Love with You,2GEDd9qtGXU7IvGgqTF6Uj,Al Green,3dkbV4qihUeMsqN4vBGg93,0.712,0.393,0,-9.538,1,0.0287,0.158,0.000588,0.0908,0.791,97.918,audio_features,2GEDd9qtGXU7IvGgqTF6Uj,spotify:track:2GEDd9qtGXU7IvGgqTF6Uj,https://api.spotify.com/v1/tracks/2GEDd9qtGXU7IvGgqTF6Uj,https://api.spotify.com/v1/audio-analysis/2GEDd9qtGXU7IvGgqTF6Uj,191636,4,r&b
Kiss,62LJFaYihsdVrrkgUOJC05,Prince,5a2EaR3hamoenG9rDuVn8j,0.898,0.271,7,-12.238,1,0.091,0.0135,0.00138,0.0461,0.742,111.485,audio_features,62LJFaYihsdVrrkgUOJC05,spotify:track:62LJFaYihsdVrrkgUOJC05,https://api.spotify.com/v1/tracks/62LJFaYihsdVrrkgUOJC05,https://api.spotify.com/v1/audio-analysis/62LJFaYihsdVrrkgUOJC05,226240,4,r&b
All of Me,3U4isOIWM3VvDubwSI3y7a,John Legend,5y2Xq6xcjJb2jVM54GHK3t,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,audio_features,3U4isOIWM3VvDubwSI3y7a,spotify:track:3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,269560,4,r&b
Papa's Got A Brand New Bag,6v4gV9s0pnwKbmF1yk5knO,James Brown,7GaxyUddsPok8BuhxN6OUW,0.746,0.702,4,-8.099,1,0.0766,0.493,0.0398,0.0964,0.889,129.434,audio_features,6v4gV9s0pnwKbmF1yk5knO,spotify:track:6v4gV9s0pnwKbmF1yk5knO,https://api.spotify.com/v1/tracks/6v4gV9s0pnwKbmF1yk5knO,https://api.spotify.com/v1/audio-analysis/6v4gV9s0pnwKbmF1yk5knO,125707,4,r&b
Always and Forever,31fzVAmqx899uxIPomTYtO,Heatwave,6D7h7R79IZjqJC2GM2wzyY,0.378,0.169,2,-18.575,1,0.0315,0.271,0.0,0.137,0.23,151.542,audio_features,31fzVAmqx899uxIPomTYtO,spotify:track:31fzVAmqx899uxIPomTYtO,https://api.spotify.com/v1/tracks/31fzVAmqx899uxIPomTYtO,https://api.spotify.com/v1/audio-analysis/31fzVAmqx899uxIPomTYtO,374827,3,r&b
Poison,6m59VvDUi0UQsB2eZ9wVbH,Bell Biv DeVoe,2zFZiWQJFFshzojycnXoTL,0.84,0.56,6,-10.53,0,0.21,0.00195,0.00417,0.633,0.775,111.815,audio_features,6m59VvDUi0UQsB2eZ9wVbH,spotify:track:6m59VvDUi0UQsB2eZ9wVbH,https://api.spotify.com/v1/tracks/6m59VvDUi0UQsB2eZ9wVbH,https://api.spotify.com/v1/audio-analysis/6m59VvDUi0UQsB2eZ9wVbH,261853,4,r&b
All The Things (Your Man Won't Do),3UGNdLrhhsK0SY9gNqe8TT,Joe,3zTOe1BtyTkwNvYZOxXktX,0.573,0.679,3,-6.774,0,0.0423,0.247,0.0,0.321,0.648,66.215,audio_features,3UGNdLrhhsK0SY9gNqe8TT,spotify:track:3UGNdLrhhsK0SY9gNqe8TT,https://api.spotify.com/v1/tracks/3UGNdLrhhsK0SY9gNqe8TT,https://api.spotify.com/v1/audio-analysis/3UGNdLrhhsK0SY9gNqe8TT,380533,4,r&b
Turn off the Lights,47nJdvSobIGBYdN7y2caLM,Teddy Pendergrass,68kACMx6A3D2BYiO056MeQ,0.614,0.405,4,-12.386,0,0.0376,0.49,0.000132,0.348,0.645,118.529,audio_features,47nJdvSobIGBYdN7y2caLM,spotify:track:47nJdvSobIGBYdN7y2caLM,https://api.spotify.com/v1/tracks/47nJdvSobIGBYdN7y2caLM,https://api.spotify.com/v1/audio-analysis/47nJdvSobIGBYdN7y2caLM,354627,4,r&b
Here and Now,042pmCix7CPth3l3X28jl1,Luther Vandross,19y5MFBH7gohEdGwKM7QsP,0.571,0.285,7,-14.453,1,0.027,0.528,0.0,0.0853,0.244,74.967,audio_features,042pmCix7CPth3l3X28jl1,spotify:track:042pmCix7CPth3l3X28jl1,https://api.spotify.com/v1/tracks/042pmCix7CPth3l3X28jl1,https://api.spotify.com/v1/audio-analysis/042pmCix7CPth3l3X28jl1,323000,4,r&b
Look What You Done for Me,0ZhwlFI7I69yaXphO7t5R8,Al Green,3dkbV4qihUeMsqN4vBGg93,0.604,0.568,10,-8.555,1,0.0447,0.371,3.18e-06,0.182,0.818,95.672,audio_features,0ZhwlFI7I69yaXphO7t5R8,spotify:track:0ZhwlFI7I69yaXphO7t5R8,https://api.spotify.com/v1/tracks/0ZhwlFI7I69yaXphO7t5R8,https://api.spotify.com/v1/audio-analysis/0ZhwlFI7I69yaXphO7t5R8,185823,4,r&b
