Title,track_id,artist,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
No Time,19bR4aKlr6fD1eAHDCmr2l,The Guess Who,0cQuYRSzlItquYxsQKDvVc,0.482,0.477,0,-13.849,1,0.0598,0.0795,4.99e-06,0.0548,0.122,128.263,audio_features,19bR4aKlr6fD1eAHDCmr2l,spotify:track:19bR4aKlr6fD1eAHDCmr2l,https://api.spotify.com/v1/tracks/19bR4aKlr6fD1eAHDCmr2l,https://api.spotify.com/v1/audio-analysis/19bR4aKlr6fD1eAHDCmr2l,219427,4,rock
Renegade,1CQqupcyMg7176PPmIVmSj,Styx,4salDzkGmfycRqNUbyBphh,0.492,0.552,7,-12.321,0,0.0341,0.0151,3.74e-05,0.0723,0.655,105.623,audio_features,1CQqupcyMg7176PPmIVmSj,spotify:track:1CQqupcyMg7176PPmIVmSj,https://api.spotify.com/v1/tracks/1CQqupcyMg7176PPmIVmSj,https://api.spotify.com/v1/audio-analysis/1CQqupcyMg7176PPmIVmSj,257227,4,rock
Everybody Wants Some!! - 2015 Remaster,5TnzOUFWoZHUEtOWlxrIlY,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,0.528,0.769,8,-8.413,1,0.0469,0.0506,0.029,0.111,0.48,144.84,audio_features,5TnzOUFWoZHUEtOWlxrIlY,spotify:track:5TnzOUFWoZHUEtOWlxrIlY,https://api.spotify.com/v1/tracks/5TnzOUFWoZHUEtOWlxrIlY,https://api.spotify.com/v1/audio-analysis/5TnzOUFWoZHUEtOWlxrIlY,306050,4,rock
Photograph,1hwN2eAwsXgktvw9Qe8TrP,Ringo Starr,6DbJi8AcN5ANdtvJcwBSw8,0.617,0.696,4,-12.739,1,0.0282,0.0155,0.000199,0.108,0.9,111.136,audio_features,1hwN2eAwsXgktvw9Qe8TrP,spotify:track:1hwN2eAwsXgktvw9Qe8TrP,https://api.spotify.com/v1/tracks/1hwN2eAwsXgktvw9Qe8TrP,https://api.spotify.com/v1/audio-analysis/1hwN2eAwsXgktvw9Qe8TrP,239760,4,rock
Who Are You,02DurCgOvDdX0uKEjqcl3W,The Who,67ea9eGLXYMsO2eYQRui3w,0.653,0.631,9,-11.334,1,0.0461,0.299,0.00265,0.0627,0.516,156.32,audio_features,02DurCgOvDdX0uKEjqcl3W,spotify:track:02DurCgOvDdX0uKEjqcl3W,https://api.spotify.com/v1/tracks/02DurCgOvDdX0uKEjqcl3W,https://api.spotify.com/v1/audio-analysis/02DurCgOvDdX0uKEjqcl3W,381627,4,rock
Space Oddity - 2015 Remaster,72Z17vmmeQKAg8bptWvpVG,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,0.31,0.403,0,-13.664,1,0.0326,0.0726,9.27e-05,0.139,0.466,134.48,audio_features,72Z17vmmeQKAg8bptWvpVG,spotify:track:72Z17vmmeQKAg8bptWvpVG,https://api.spotify.com/v1/tracks/72Z17vmmeQKAg8bptWvpVG,https://api.spotify.com/v1/audio-analysis/72Z17vmmeQKAg8bptWvpVG,318027,4,rock
Sister Christian,57trQKFZdJxHia4sMJioWk,Night Ranger,1Ha0Fz4i0d4gu5fZbhBCtH,0.448,0.35,5,-16.239,1,0.0393,0.147,2.27e-06,0.0842,0.234,177.279,audio_features,57trQKFZdJxHia4sMJioWk,spotify:track:57trQKFZdJxHia4sMJioWk,https://api.spotify.com/v1/tracks/57trQKFZdJxHia4sMJioWk,https://api.spotify.com/v1/audio-analysis/57trQKFZdJxHia4sMJioWk,302933,4,rock
Get Back - Remastered 2009,4MLBqAEzNN89o2M9h92Z26,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0.761,0.592,2,-9.836,1,0.0586,0.492,0.00626,0.61,0.332,123.095,audio_features,4MLBqAEzNN89o2M9h92Z26,spotify:track:4MLBqAEzNN89o2M9h92Z26,https://api.spotify.com/v1/tracks/4MLBqAEzNN89o2M9h92Z26,https://api.spotify.com/v1/audio-analysis/4MLBqAEzNN89o2M9h92Z26,189387,4,rock
"Lay, Lady, Lay",4uYwlMp841PLJmj1gJJwIq,Bob Dylan,74ASZWbe4lXaubB36ztrGX,0.52,0.179,11,-21.976,0,0.0454,0.356,0.00344,0.131,0.407,155.746,audio_features,4uYwlMp841PLJmj1gJJwIq,spotify:track:4uYwlMp841PLJmj1gJJwIq,https://api.spotify.com/v1/tracks/4uYwlMp841PLJmj1gJJwIq,https://api.spotify.com/v1/audio-analysis/4uYwlMp841PLJmj1gJJwIq,197093,4,rock
Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,rock
Ramble On - 1990 Remaster,3MODES4TNtygekLl146Dxd,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,audio_features,3MODES4TNtygekLl146Dxd,spotify:track:3MODES4TNtygekLl146Dxd,https://api.spotify.com/v1/tracks/3MODES4TNtygekLl146Dxd,https://api.spotify.com/v1/audio-analysis/3MODES4TNtygekLl146Dxd,263333,4,rock
Tom Sawyer,3QZ7uX97s82HFYSmQUAN1D,Rush,2Hkut4rAAyrQxRdof7FVJq,0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559,audio_features,3QZ7uX97s82HFYSmQUAN1D,spotify:track:3QZ7uX97s82HFYSmQUAN1D,https://api.spotify.com/v1/tracks/3QZ7uX97s82HFYSmQUAN1D,https://api.spotify.com/v1/audio-analysis/3QZ7uX97s82HFYSmQUAN1D,276880,4,rock
What Is Life - Remastered 2014,76TpWFiK5YCgw1hy26DWZp,George Harrison,7FIoB5PHdrMZVC3q2HE5MS,0.468,0.833,4,-5.847,1,0.0324,0.00654,0.000332,0.326,0.884,131.248,audio_features,76TpWFiK5YCgw1hy26DWZp,spotify:track:76TpWFiK5YCgw1hy26DWZp,https://api.spotify.com/v1/tracks/76TpWFiK5YCgw1hy26DWZp,https://api.spotify.com/v1/audio-analysis/76TpWFiK5YCgw1hy26DWZp,264413,4,rock
Just What I Needed,4alHo6RGd0D3OUbTPExTHN,The Cars,6DCIj8jNaNpBz8e5oKFPtp,0.619,0.579,4,-9.307,1,0.0473,0.0152,6.4e-05,0.0858,0.69,127.224,audio_features,4alHo6RGd0D3OUbTPExTHN,spotify:track:4alHo6RGd0D3OUbTPExTHN,https://api.spotify.com/v1/tracks/4alHo6RGd0D3OUbTPExTHN,https://api.spotify.com/v1/audio-analysis/4alHo6RGd0D3OUbTPExTHN,225627,4,rock
Iron Man - 2012 - Remaster,3IOQZRcEkplCXg6LofKqE9,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,0.336,0.792,9,-10.875,1,0.084,0.00351,0.00175,0.0437,0.427,155.587,audio_features,3IOQZRcEkplCXg6LofKqE9,spotify:track:3IOQZRcEkplCXg6LofKqE9,https://api.spotify.com/v1/tracks/3IOQZRcEkplCXg6LofKqE9,https://api.spotify.com/v1/audio-analysis/3IOQZRcEkplCXg6LofKqE9,355304,4,rock
It's Only Rock'n'Roll (But I Like It) - Remastered 2009,668YgsnvdNBHfRscNIBS31,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,0.616,0.957,9,-3.966,1,0.0508,0.501,0.0115,0.318,0.778,128.517,audio_features,668YgsnvdNBHfRscNIBS31,spotify:track:668YgsnvdNBHfRscNIBS31,https://api.spotify.com/v1/tracks/668YgsnvdNBHfRscNIBS31,https://api.spotify.com/v1/audio-analysis/668YgsnvdNBHfRscNIBS31,307440,4,rock
