danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.529,0.662,5,-11.745,1,0.0273,0.153,0.00542,0.099,0.302,93.93,320867,4
0.608,0.834,0,-3.584,1,0.0239,0.0176,1.8e-05,0.12,0.615,105.782,259227,4
0.391,0.899,9,-7.919,0,0.0625,0.00691,0.407,0.895,0.618,105.063,161987,4
0.305,0.859,0,-8.213,1,0.0721,0.00252,0.136,0.613,0.33,108.458,243280,4
0.524,0.755,2,-10.89,1,0.0468,0.0089,0.0,0.0485,0.785,142.543,227067,4
0.559,0.524,9,-13.784,0,0.0338,0.0482,0.104,0.0962,0.879,157.465,460200,4
0.723,0.541,0,-14.021,1,0.0303,0.028,0.00339,0.133,0.607,131.675,322897,4
0.58,0.571,9,-9.116,1,0.0321,0.378,5.13e-06,0.358,0.818,128.15,248013,4
0.299,0.92,2,-3.377,1,0.0552,0.0048,0.00022,0.122,0.675,160.449,188494,4
0.606,0.794,0,-6.042,1,0.0282,0.157,0.0406,0.568,0.911,116.93,274227,4
0.406,0.597,0,-11.745,1,0.0336,0.0744,0.0133,0.254,0.478,115.474,286813,4
0.688,0.848,0,-6.646,1,0.041,0.145,7.43e-05,0.0666,0.915,94.5,295307,4
0.732,0.239,2,-12.203,1,0.037,0.681,1.16e-06,0.0972,0.377,110.58,188600,3
0.612,0.942,3,-4.588,1,0.0399,0.0163,3.9e-06,0.0909,0.622,144.038,281467,4
0.623,0.876,11,-7.788,1,0.066,0.0189,0.0134,0.0728,0.515,124.431,217347,4
0.586,0.574,4,-10.83,1,0.0312,0.135,0.0,0.169,0.739,146.738,211227,4
0.638,0.72,5,-6.846,1,0.0275,0.29,0.000817,0.132,0.824,123.689,230267,4
0.838,0.757,2,-5.399,1,0.0927,0.059,0.0119,0.0271,0.602,124.65,251333,4
0.351,0.563,5,-9.401,1,0.038,0.498,0.000647,0.133,0.274,102.468,374693,4
0.448,0.402,7,-12.135,1,0.03,0.365,0.000746,0.076,0.244,100.454,341667,4
0.528,0.655,0,-7.85,0,0.0262,0.0102,0.723,0.377,0.367,115.285,331853,4
0.586,0.74,2,-6.836,1,0.0269,0.115,4.03e-05,0.0702,0.532,97.362,273973,4
0.605,0.715,4,-7.706,0,0.037,0.497,0.000353,0.0763,0.561,128.509,307800,4
0.58,0.941,7,-3.51,1,0.0805,0.414,1.41e-05,0.155,0.684,119.844,225012,4
0.681,0.623,9,-10.322,0,0.0324,0.193,2.98e-06,0.0873,0.812,99.482,226013,4
0.706,0.322,5,-14.108,1,0.0467,0.528,2.37e-06,0.576,0.305,135.154,221133,4
0.616,0.761,3,-9.199,1,0.126,0.196,0.0025,0.374,0.708,145.074,240600,4
0.352,0.482,4,-11.791,1,0.0369,0.793,0.0566,0.0791,0.344,158.559,336560,4
0.65,0.665,9,-11.259,1,0.0372,0.0526,4.62e-06,0.13,0.593,115.51,254267,4
0.403,0.763,8,-6.727,1,0.118,0.0277,0.00985,0.148,0.455,82.812,255613,4
0.548,0.68,9,-8.675,0,0.0474,0.0148,0.000949,0.0877,0.851,148.494,280333,4
0.609,0.754,2,-10.82,1,0.034,0.431,0.000902,0.112,0.57,123.208,227600,4
