Il y a 1953 genres nommés différemment
['canadian post-rock', 2]
['acid techno', 2]
['german tech house', 2]
['leipzig electronic', 2]
['deep minimal techno', 2]
['latin viral pop', 2]
['melodipop', 2]
['pirate', 2]
['nordic folk metal', 2]
['swedish eurodance', 2]
['varmland rock', 2]
['trop rock', 2]
['jazz drums', 2]
['hammond organ', 2]
['jazz organ', 2]
['pop house', 2]
['raw techno', 2]
['slovenian electronic', 2]
['texas punk', 2]
['isle of wight indie', 2]
['21st century classical', 2]
['american 21st century classical', 2]
['post-minimalism', 2]
['swiss pop', 2]
['chill r&b', 2]
['uk house', 2]
['a cappella', 2]
['norwegian space disco', 2]
['idol rock', 2]
['kawaii metal', 2]
['wyoming indie', 2]
['icelandic rock', 2]
['ny roots', 2]
['norwegian punk rock', 2]
['surf punk', 2]
['irish punk', 2]
['northern irish punk', 2]
['uk82', 2]
['finnish heavy metal', 2]
['japanese chillhop', 2]
['abstract beats', 2]
['deep new americana', 2]
['knoxville indie', 2]
['houston indie', 2]
['jazz rock', 2]
['french jazz', 2]
['prog metal', 2]
['christian uplift', 2]
['french metal', 2]
['neo metal', 2]
['neue deutsche harte', 2]
['japanese punk rock', 2]
['danish post-punk', 2]
['oklahoma country', 2]
['ragtime', 2]
['jazz vibraphone', 2]
['straight-ahead jazz', 2]
['lo star', 2]
['buffalo ny metal', 2]
['show tunes', 2]
['swedish synth', 2]
['electronicore', 2]
['albany ny indie', 2]
['cambridgeshire indie', 2]
['christian indie', 2]
['german post-rock', 2]
['irish indie', 2]
['american primitive', 2]
['modern old-time', 2]
['duluth indie', 2]
['australian r&b', 2]
['ghent indie', 2]
['modern alternative pop', 2]
['mexican pop', 2]
['chicago house', 2]
['san diego rap', 2]
['nz reggae', 2]
['new italo disco', 2]
['belgian dance', 2]
['canadian celtic', 2]
['irish pub song', 2]
['chanson', 2]
['stockholm indie', 2]
['danish pop rock', 2]
['boy pop', 2]
['hard trance', 2]
['ambient worship', 2]
['cedm', 2]
['british math rock', 2]
['irish metal', 2]
['latinx alternative', 2]
['hyperpop', 2]
['proto-hyperpop', 2]
['devon indie', 2]
['canadian soundtrack', 2]
['japanese post-hardcore', 2]
['icelandic folk', 2]
['modern reggae', 2]
['german punk rock', 2]
['london indie', 2]
['swiss indie', 2]
['garage punk', 2]
['portuguese metal', 2]
['victoria bc indie', 2]
['african rock', 2]
['south african pop', 2]
['south african pop dance', 2]
['uk alternative hip hop', 2]
['malmo indie', 2]
['action rock', 2]
['downtempo bass', 2]
['cloud rap', 2]
['deconstructed club', 2]
['finnish indie', 2]
['industrial pop', 2]
['canadian shoegaze', 2]
['industrial hip hop', 2]
['danish indie pop', 2]
['grindcore', 2]
['vermont indie', 2]
['malaysian pop', 2]
['experimental classical', 2]
['southern americana', 2]
['swedish electronic', 2]
['riddim', 2]
['london rap', 2]
['rome indie', 2]
['cinematic post-rock', 2]
['nordic post-rock', 2]
['electro-pop francais', 2]
['progressive power metal', 2]
['canadian blues', 2]
['fort worth indie', 2]
['new orleans indie', 2]
['cincinnati indie', 2]
['san diego indie', 2]
['french tech house', 2]
['estonian pop', 2]
['kent indie', 2]
['midwest americana', 2]
['traprun', 2]
['modern cello', 2]
['nordic soundtrack', 2]
['ambient guitar', 2]
['rock alternatif francais', 2]
['thall', 2]
['danish punk', 2]
['k-pop boy group', 2]
['basshall', 2]
['barbadian pop', 2]
['dmv rap', 2]
['souldies', 2]
['social media pop', 2]
['boston folk', 2]
['brutal deathcore', 2]
['indie r&b', 2]
['modern country pop', 2]
["black 'n' roll", 2]
['nigerian pop', 2]
['scandipop', 2]
['atmospheric sludge', 2]
['azonto', 2]
['jamaican hip hop', 2]
['trap soul', 2]
['tennessee hip hop', 2]
['k-rap', 2]
['brazilian rock', 2]
['rock alternativo brasileiro', 2]
['bakersfield sound', 1]
['experimental vocal', 1]
['geek rock', 1]
['french garage rock', 1]
['chicago hardcore', 1]
['st petersburg fl indie', 1]
['swiss rock', 1]
['mbalax', 1]
['tennessee metal', 1]
['technical thrash', 1]
['arizona punk', 1]
['german death metal', 1]
['turkish death metal', 1]
['synth punk', 1]
['swedish indie folk', 1]
['dissonant death metal', 1]
['mexican classic rock', 1]
['american post-punk', 1]
['indie valenciana', 1]
['progressive black metal', 1]
['modern jangle pop', 1]
['pop violin', 1]
['british black metal', 1]
['italian gothic', 1]
['italian gothic metal', 1]
['fremantle indie', 1]
['future funk', 1]
['norwegian folk rock', 1]
['rebel blues', 1]
['american melodeath', 1]
['aberdeen indie', 1]
['french psychedelic', 1]
['texas metal', 1]
['deathrock', 1]
['fourth world', 1]
['south carolina metal', 1]
['lexington ky indie', 1]
['kentucky indie', 1]
['west yorkshire indie', 1]
['digital hardcore', 1]
['christian deathcore', 1]
['technical melodic death metal', 1]
['polish black metal', 1]
['bristol indie', 1]
['kansas indie', 1]
['vancouver metal', 1]
['nz hardcore', 1]
['nz punk', 1]
['louisiana metal', 1]
['nordic shoegaze', 1]
['chapman stick', 1]
['atmospheric doom', 1]
['cascadian black metal', 1]
['portland metal', 1]
['pinoy hip hop', 1]
['ghanaian hip hop', 1]
['canadian latin', 1]
['nu-cumbia', 1]
['jazz flute', 1]
['kansas hip hop', 1]
['eugene indie', 1]
['bahamian pop', 1]
['tropical', 1]
['german indie folk', 1]
['japanese math rock', 1]
['japanese post-rock', 1]
['australian indigenous music', 1]
['doomgaze', 1]
['louisville underground', 1]
['auteur-compositeur-interprete quebecois', 1]
['rock quebecois', 1]
['czech singer-songwriter', 1]
['go-go', 1]
['australian post-rock', 1]
['afro-cuban percussion', 1]
['boogaloo', 1]
['jewish hip hop', 1]
['deep east coast hip hop', 1]
['flint hip hop', 1]
['pittsburgh rock', 1]
['dayton indie', 1]
['ska mexicano', 1]
['deep german punk', 1]
['emocore', 1]
['autonomous black metal', 1]
['black thrash', 1]
['barrelhouse piano', 1]
['early modern classical', 1]
['tin pan alley', 1]
['gothabilly', 1]
['modern goth', 1]
['asheville indie', 1]
['portland punk', 1]
['munich indie', 1]
['maine hip hop', 1]
['rock of gibraltar', 1]
['jawaiian', 1]
['funana', 1]
['funky breaks', 1]
['classic belgian pop', 1]
['dundee indie', 1]
['fort wayne indie', 1]
['belly dance', 1]
['psybass', 1]
['australian death metal', 1]
['faroese pop', 1]
['deep dnb', 1]
['italian metalcore', 1]
['kentucky roots', 1]
['african-american classical', 1]
['jazz clarinet', 1]
['halloween', 1]
['honky-tonk piano', 1]
['traditional rockabilly', 1]
['appalachian folk', 1]
['gospel blues', 1]
['modular synth', 1]
['high-tech minimal', 1]
['organic electronic', 1]
['cologne electronic', 1]
['organic house', 1]
['rap latina', 1]
['scottish metal', 1]
['slavic folk metal', 1]
['finnish progressive metal', 1]
['british comedy', 1]
['music hall', 1]
['russelater', 1]
['finnish edm', 1]
['deep classic garage rock', 1]
['jazz worship', 1]
['cuban alternative', 1]
['commons', 1]
['british contemporary classical', 1]
['american contemporary classical', 1]
['japanese classical', 1]
['japanese contemporary classical', 1]
['japanese soundtrack', 1]
['french soundtrack', 1]
['korean instrumental', 1]
['italian electronica', 1]
['spanish techno', 1]
['groove room', 1]
['lithuanian electronic', 1]
['latin afrobeat', 1]
['deep soft rock', 1]
['orebro indie', 1]
['french stoner rock', 1]
['psychedelic space rock', 1]
['swedish hardcore', 1]
['vocal trance', 1]
['belgian new wave', 1]
['british industrial', 1]
['old school ebm', 1]
['persian pop', 1]
['brazilian house', 1]
['ambient techno', 1]
['spanish invasion', 1]
['psychedelic blues-rock', 1]
['nwobhm', 1]
['north carolina emo', 1]
['hurdy-gurdy', 1]
['industrial black metal', 1]
['swiss black metal', 1]
['german thrash metal', 1]
['canadian black metal', 1]
['apostolic worship', 1]
['irish hip hop', 1]
['triangle indie', 1]
['manchester indie', 1]
['psychedelic pop', 1]
['irish accordion', 1]
['corrosion', 1]
['experimental indie rock', 1]
['icelandic post-punk', 1]
['spanish indie pop', 1]
['indie fuzzpop', 1]
['krautrock', 1]
['jazz violin', 1]
['rock progressif francais', 1]
['vintage french electronic', 1]
['polish prog', 1]
['bossa nova', 1]
['samba-jazz', 1]
['roots worship', 1]
['danish jazz', 1]
['danish modern jazz', 1]
['chill lounge', 1]
['italian lounge', 1]
['sambass', 1]
['broken beat', 1]
['deep melodic hard rock', 1]
['nwocr', 1]
['swedish psychedelic rock', 1]
['neo-rockabilly', 1]
['japanese metalcore', 1]
['new england americana', 1]
['nottingham hip hop', 1]
['canadian indigenous hip hop', 1]
['canadian indigenous music', 1]
['ottawa rap', 1]
['gaming dubstep', 1]
['dalarna indie', 1]
['vincy soca', 1]
['protest folk', 1]
['christmas instrumental', 1]
['arabic jazz', 1]
['chillhop', 1]
['bass trip', 1]
['mallet', 1]
['derry indie', 1]
['native american hip hop', 1]
['beach music', 1]
['norwegian blues', 1]
['sacred steel', 1]
['brass band pop', 1]
['dubstep product', 1]
['south carolina indie', 1]
['sasscore', 1]
['delaware indie', 1]
['lapland metal', 1]
['anime score', 1]
['german ebm', 1]
['free folk', 1]
['string band', 1]
['japanese shoegaze', 1]
['uk dnb', 1]
['belgian indie rock', 1]
['atlantic canada hip hop', 1]
['hawaiian hip hop', 1]
['draga', 1]
['bulgarian indie', 1]
['tejano', 1]
['speed garage', 1]
['classic greek pop', 1]
['zouk', 1]
['spacesynth', 1]
['heavy psych', 1]
['ruta destroy', 1]
['classic italian pop', 1]
['italian adult pop', 1]
['hardcore breaks', 1]
['piano house', 1]
['detroit house', 1]
['shanty', 1]
['healing', 1]
['irish dance', 1]
['jump up', 1]
['gabber', 1]
['belfast indie', 1]
['military rap', 1]
['nashville hip hop', 1]
['mexican hip hop', 1]
['swedish hip hop', 1]
['swedish underground rap', 1]
['hmong pop', 1]
['experimental psych', 1]
['modern psychedelic folk', 1]
['classic russian rock', 1]
['bouncy house', 1]
['christian dance', 1]
['irish black metal', 1]
['canadian classical', 1]
['middle earth', 1]
['uk noise rock', 1]
['christchurch indie', 1]
['danspunk', 1]
['swedish pop rap', 1]
['japanese death metal', 1]
['christian power metal', 1]
['israeli metal', 1]
['mariachi', 1]
['kentucky hip hop', 1]
['virgin islands reggae', 1]
['german punk', 1]
['indian metal', 1]
['darkstep', 1]
['jazz cover', 1]
['deep liquid', 1]
['bedroom pop', 1]
['experimental guitar', 1]
['charlottesville indie', 1]
['instrumental surf', 1]
['fantasy', 1]
['scottish folk', 1]
['austrian metal', 1]
['norwegian hardcore', 1]
['indie pop rock', 1]
['oulu indie', 1]
['polynesian hip hop', 1]
['mexican death metal', 1]
['mexican metal', 1]
['japanese heavy metal', 1]
['japanese power metal', 1]
['seattle metal', 1]
['american oi', 1]
['deathrash', 1]
['polish thrash metal', 1]
['italian power metal', 1]
['new isolationism', 1]
['pop ambient', 1]
['dreamgaze', 1]
['indie shoegaze', 1]
['russian shoegaze', 1]
['canadian experimental', 1]
['warm drone', 1]
['israeli pop', 1]
['israeli rock', 1]
['chilean indie', 1]
['chilean rock', 1]
['psicodelia chilena', 1]
['connecticut indie', 1]
['deep indie rock', 1]
['5th wave emo', 1]
['ambient country', 1]
['blackened screamo', 1]
['emotional black metal', 1]
['boogie-woogie', 1]
['deep latin alternative', 1]
['american grindcore', 1]
['technical grindcore', 1]
['new orleans americana', 1]
['halftime dnb', 1]
['minimal dnb', 1]
['baton rouge indie', 1]
['experimental jazz', 1]
['totalism', 1]
['belgian modern jazz', 1]
['swedish post-punk', 1]
['swedish emo', 1]
['swedish post-hardcore', 1]
['lo-fi house', 1]
['bubblegum bass', 1]
['australian post-punk', 1]
['hard house', 1]
['italian trance', 1]
['experimental synth', 1]
['austrian pop', 1]
['portuguese black metal', 1]
['portuguese rock', 1]
['italian indie pop', 1]
['oslo indie', 1]
['german dnb', 1]
['atmospheric post-rock', 1]
['traditional british folk', 1]
['traditional english folk', 1]
['psych gaze', 1]
['german jazz', 1]
['british jazz', 1]
['new tribe', 1]
['danish death metal', 1]
['neo-trad metal', 1]
['variete francaise', 1]
['german blues', 1]
['australian indigenous hip hop', 1]
['australian trap', 1]
['west australian hip hop', 1]
['sydney indie', 1]
['michigan folk', 1]
['sudanese hip hop', 1]
['japanese old school hip hop', 1]
['bahai', 1]
['estonian electronic', 1]
['israeli indie', 1]
['south dakota indie', 1]
['russian synthpop', 1]
['hindustani classical', 1]
['indian classical', 1]
['indian fusion', 1]
['sitar', 1]
['medway sound', 1]
['luxembourgian indie', 1]
['arabic hip hop', 1]
['gulf hip hop', 1]
['milwaukee hip hop', 1]
['toronto rap', 1]
['classic opm', 1]
['ska jazz', 1]
['kingston on indie', 1]
['west end', 1]
['nordnorsk musikk', 1]
['norske viser', 1]
['icelandic classical', 1]
['argentine ambient', 1]
['latin classical', 1]
['latin soundtrack', 1]
['oceania soundtrack', 1]
['norwegian house', 1]
['chill house', 1]
['beatdown', 1]
['french hardcore', 1]
['french emo', 1]
['balkan beats', 1]
['jersey club', 1]
['full on', 1]
['nitzhonot', 1]
['canadian psychedelic', 1]
['pei indie', 1]
['newfoundland indie', 1]
['nl folk', 1]
['rap marseille', 1]
['dub punk', 1]
['cornwall indie', 1]
['nederreggae', 1]
['channel pop', 1]
['african reggae', 1]
['freeform hardcore', 1]
['modern uplift', 1]
['future ambient', 1]
['cologne hip hop', 1]
['german hip hop', 1]
['german reggae', 1]
['dakke dak', 1]
['canadian rockabilly', 1]
['iowa indie', 1]
['oi', 1]
['minneapolis metal', 1]
['finnish dance pop', 1]
['finnish hip hop', 1]
['finnish pop', 1]
['downtempo fusion', 1]
['indonesian hip hop', 1]
['chutney', 1]
['idaho indie', 1]
['stutter house', 1]
['k-pop girl group', 1]
['progressive psytrance', 1]
['furry', 1]
['thai folk', 1]
['balkan brass', 1]
['gypsy punk', 1]
['italian progressive rock', 1]
['latino comedy', 1]
['britpop revival', 1]
['modern chamber music', 1]
['australian house', 1]
['nz metal', 1]
['coventry indie', 1]
['estonian indie', 1]
['estonian rock', 1]
['singaporean pop', 1]
['singaporean singer-songwriter', 1]
['danish singer-songwriter', 1]
['dutch r&b', 1]
['british country', 1]
['raboday', 1]
['indie tico', 1]
['pop costarricense', 1]
['cascadia psych', 1]
['azontobeats', 1]
['swedish dancehall', 1]
['christian trap', 1]
['rap cristiano', 1]
['j-pop', 1]
['classic norwegian pop', 1]
['charva', 1]
['warrington indie', 1]
['nightcore', 1]
['austin metal', 1]
['game mood', 1]
['downtempo deathcore', 1]
['german heavy metal', 1]
['viral rap', 1]
['birmingham grime', 1]
['rennes indie', 1]
['austrian indie', 1]
['spiritual hip hop', 1]
['metal cover', 1]
['bc underground hip hop', 1]
['shibuya-kei', 1]
['paisley underground', 1]
['pennsylvania hardcore', 1]
['pittsburgh metal', 1]
['canadian house', 1]
['pink noise', 1]
['dub metal', 1]
['illbient', 1]
['manchester hip hop', 1]
['jug band', 1]
['korean r&b', 1]
['chattanooga indie', 1]
['polish electronica', 1]
['polish jazz', 1]
['blackened crust', 1]
['norwegian death metal', 1]
['classic schlager', 1]
['boogie', 1]
['canadian garage rock', 1]
['east anglia indie', 1]
['australian talent show', 1]
['south african hip hop', 1]
['jamtronica', 1]
['sega mauricien', 1]
['neo-traditional country', 1]
['nigerian hip hop', 1]
['brisbane punk', 1]
['manitoba country', 1]
['puerto rican pop', 1]
['brazilian post-hardcore', 1]
['brazilian stoner rock', 1]
['rock potiguar', 1]
['washboard', 1]
['funky tech house', 1]
['dark hardcore', 1]
['avant-garde metal', 1]
['cosmic death metal', 1]
['northamptonshire indie', 1]
['milwaukee indie', 1]
['indiana hip hop', 1]
['nz indie', 1]
['wellington indie', 1]
['arab trap', 1]
['finnish doom metal', 1]
['french death metal', 1]
['theme', 1]
['calypso', 1]
['bath indie', 1]
['rock gotico', 1]
['swedish reggae', 1]
['ottawa indie', 1]
['screamocore', 1]
['halifax indie', 1]
['korean old school hip hop', 1]
["man's orchestra", 1]
['british choir', 1]
['south carolina hip hop', 1]
['pinoy r&b', 1]
['australian country', 1]
['japanese electropop', 1]
['gospel r&b', 1]
['microtonal', 1]
['arkansas indie', 1]
['little rock indie', 1]
['florida drill', 1]
['florida rap', 1]
['danish techno', 1]
['indian edm', 1]
['braindance', 1]
['west virginia indie', 1]
['cymraeg', 1]
['norman ok indie', 1]
['epic doom', 1]
