Title,track_id,artist,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres
A Long Walk,1CeizRCGEYPWooEeVfmyFL,Jill Scott,6AVLthptCPhfrxlHadOBJD,0.713,0.541,6,-9.295,0,0.248,0.0617,0.000137,0.112,0.28,75.714,audio_features,1CeizRCGEYPWooEeVfmyFL,spotify:track:1CeizRCGEYPWooEeVfmyFL,https://api.spotify.com/v1/tracks/1CeizRCGEYPWooEeVfmyFL,https://api.spotify.com/v1/audio-analysis/1CeizRCGEYPWooEeVfmyFL,280973,4,"['hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']"
The Driver,2JO7hWJoFVNA9NgI6o9pnA,Charles Kelley,2Hbxyk7qJ22i8wFEqgM3vC,0.429,0.324,7,-7.771,1,0.0287,0.501,0.0,0.0796,0.144,150.096,audio_features,2JO7hWJoFVNA9NgI6o9pnA,spotify:track:2JO7hWJoFVNA9NgI6o9pnA,https://api.spotify.com/v1/tracks/2JO7hWJoFVNA9NgI6o9pnA,https://api.spotify.com/v1/audio-analysis/2JO7hWJoFVNA9NgI6o9pnA,276880,3,['country pop']
Dirt Road Anthem,0adTN3vBO3pimO3yfxm9vg,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,0.677,0.739,2,-5.068,1,0.0352,0.32,2.36e-06,0.12,0.658,127.04,audio_features,0adTN3vBO3pimO3yfxm9vg,spotify:track:0adTN3vBO3pimO3yfxm9vg,https://api.spotify.com/v1/tracks/0adTN3vBO3pimO3yfxm9vg,https://api.spotify.com/v1/audio-analysis/0adTN3vBO3pimO3yfxm9vg,229413,4,"['contemporary country', 'country', 'country road', 'modern country rock']"
Wings,2GmDSynJNq91LwK4ExQwBL,HAERTS,7pww8JMPMj1SxUfJ8wN5Kt,0.534,0.742,7,-5.785,1,0.042,0.0152,0.0099,0.242,0.478,97.998,audio_features,2GmDSynJNq91LwK4ExQwBL,spotify:track:2GmDSynJNq91LwK4ExQwBL,https://api.spotify.com/v1/tracks/2GmDSynJNq91LwK4ExQwBL,https://api.spotify.com/v1/audio-analysis/2GmDSynJNq91LwK4ExQwBL,298867,4,['metropopolis']
Everybody Does,5h9NOj6ug1uB4LkT5FrFrm,Julien Baker,12zbUHbPHL5DGuJtiUfsip,0.656,0.181,5,-8.544,1,0.0322,0.852,0.0,0.061,0.342,111.438,audio_features,5h9NOj6ug1uB4LkT5FrFrm,spotify:track:5h9NOj6ug1uB4LkT5FrFrm,https://api.spotify.com/v1/tracks/5h9NOj6ug1uB4LkT5FrFrm,https://api.spotify.com/v1/audio-analysis/5h9NOj6ug1uB4LkT5FrFrm,145889,4,"['ambient folk', 'indie pop', 'indie rock']"
Beast (feat. Waka Flocka),3mMjFf10PfJyvHHTyQYYdj,Mia Martina,2Mo8dJY6EXvu41mbsJ2vOC,0.708,0.498,8,-6.696,1,0.0517,0.0685,0.0,0.327,0.255,134.951,audio_features,3mMjFf10PfJyvHHTyQYYdj,spotify:track:3mMjFf10PfJyvHHTyQYYdj,https://api.spotify.com/v1/tracks/3mMjFf10PfJyvHHTyQYYdj,https://api.spotify.com/v1/audio-analysis/3mMjFf10PfJyvHHTyQYYdj,189970,4,['canadian electropop']
Boogie 2Nite - Seamus Haji Big Love Edit,53MQXvIDigozCfGy7wHN8X,Booty Luv,1RtyP3Yk376oIq4dB7VMzC,0.639,0.828,5,-6.785,0,0.0815,0.0147,2.62e-05,0.274,0.828,126.964,audio_features,53MQXvIDigozCfGy7wHN8X,spotify:track:53MQXvIDigozCfGy7wHN8X,https://api.spotify.com/v1/tracks/53MQXvIDigozCfGy7wHN8X,https://api.spotify.com/v1/audio-analysis/53MQXvIDigozCfGy7wHN8X,196067,4,"['disco house', 'vocal house']"
6 Underground - Nellee Hooper Mix,4OchoJP9f6qiSycrX8iV9Z,Sneaker Pimps,1EJWNhiYbOyeUHbsS7Kp1P,0.586,0.685,1,-8.705,0,0.0493,0.0293,0.107,0.132,0.472,169.938,audio_features,4OchoJP9f6qiSycrX8iV9Z,spotify:track:4OchoJP9f6qiSycrX8iV9Z,https://api.spotify.com/v1/tracks/4OchoJP9f6qiSycrX8iV9Z,https://api.spotify.com/v1/audio-analysis/4OchoJP9f6qiSycrX8iV9Z,234040,4,"['electronica', 'trip hop']"
We Don't Have To Take Our Clothes Off,6S7OQQ19MSi5Fo2PQ6LL1u,Jermaine Stewart,7FAkzV0YOw0EIXFhmY4RE3,0.807,0.841,6,-4.0,0,0.0406,0.0305,0.000114,0.092,0.911,122.588,audio_features,6S7OQQ19MSi5Fo2PQ6LL1u,spotify:track:6S7OQQ19MSi5Fo2PQ6LL1u,https://api.spotify.com/v1/tracks/6S7OQQ19MSi5Fo2PQ6LL1u,https://api.spotify.com/v1/audio-analysis/6S7OQQ19MSi5Fo2PQ6LL1u,245027,4,[]
All The Same,2kgtXM87cHplUYiUnXACAR,TEEN,6sZmvh4GUCek0kNwoSv2Fa,0.56,0.569,2,-7.983,1,0.0285,0.0888,0.000875,0.511,0.568,133.893,audio_features,2kgtXM87cHplUYiUnXACAR,spotify:track:2kgtXM87cHplUYiUnXACAR,https://api.spotify.com/v1/tracks/2kgtXM87cHplUYiUnXACAR,https://api.spotify.com/v1/audio-analysis/2kgtXM87cHplUYiUnXACAR,338080,4,['brooklyn indie']
Dancing With Tears In My Eyes,7F1HinSK9GD2r2yGwU2w7j,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,0.589,0.908,9,-8.117,1,0.0431,0.151,0.000252,0.596,0.926,143.959,audio_features,7F1HinSK9GD2r2yGwU2w7j,spotify:track:7F1HinSK9GD2r2yGwU2w7j,https://api.spotify.com/v1/tracks/7F1HinSK9GD2r2yGwU2w7j,https://api.spotify.com/v1/audio-analysis/7F1HinSK9GD2r2yGwU2w7j,244120,4,"['new romantic', 'new wave', 'new wave pop', 'synthpop', 'zolo']"
Wonderland of Living Things,5fj8UGbbFcP7M4EVPfl8k9,Mark McGuire,2w7aH9RfRWfODKlj0WI8By,0.699,0.609,11,-11.686,1,0.0476,0.626,0.861,0.131,0.96,132.014,audio_features,5fj8UGbbFcP7M4EVPfl8k9,spotify:track:5fj8UGbbFcP7M4EVPfl8k9,https://api.spotify.com/v1/tracks/5fj8UGbbFcP7M4EVPfl8k9,https://api.spotify.com/v1/audio-analysis/5fj8UGbbFcP7M4EVPfl8k9,170933,4,['experimental guitar']
