Title,track_id,artist,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres,Sorted_genres
Act Naturally,3JWEMzwpcWCvu4Qw1BIbYi,Buck Owens,2FMZn5P3WATd7Il6FgPJNu,0.552,0.474,7,-6.847,1,0.0275,0.336,0.0,0.173,0.7,92.156,audio_features,3JWEMzwpcWCvu4Qw1BIbYi,spotify:track:3JWEMzwpcWCvu4Qw1BIbYi,https://api.spotify.com/v1/tracks/3JWEMzwpcWCvu4Qw1BIbYi,https://api.spotify.com/v1/audio-analysis/3JWEMzwpcWCvu4Qw1BIbYi,143693,4,"['bakersfield sound', 'classic country pop', 'country', 'country rock', 'cowboy western', 'western swing']",country
How Ya Do Dat,1KLhUURHRl72xGO5A94lme,Young Bleed,5GQgxUq4MOuXXV99WrRuev,0.788,0.451,1,-9.313,1,0.318,0.118,0.0,0.134,0.302,89.97,audio_features,1KLhUURHRl72xGO5A94lme,spotify:track:1KLhUURHRl72xGO5A94lme,https://api.spotify.com/v1/tracks/1KLhUURHRl72xGO5A94lme,https://api.spotify.com/v1/audio-analysis/1KLhUURHRl72xGO5A94lme,271067,4,"['baton rouge rap', 'dirty south rap']",rap
Bury Me Alive,5SbJacDwoaouWkGxG1TrHq,We Are The Fallen,4V0jSDdGGQ2VhYuSOjBUjI,0.529,0.882,11,-2.962,0,0.0444,0.0208,1.32e-05,0.359,0.179,119.974,audio_features,5SbJacDwoaouWkGxG1TrHq,spotify:track:5SbJacDwoaouWkGxG1TrHq,https://api.spotify.com/v1/tracks/5SbJacDwoaouWkGxG1TrHq,https://api.spotify.com/v1/audio-analysis/5SbJacDwoaouWkGxG1TrHq,286640,4,['pixie'],pixie
Army of Me,3vEmpJQC2p8h0U3OiBufQm,Björk,7w29UYBi0qsHi5RTcv3lmA,0.462,0.677,6,-9.262,1,0.0327,0.00786,7.15e-05,0.226,0.468,172.192,audio_features,3vEmpJQC2p8h0U3OiBufQm,spotify:track:3vEmpJQC2p8h0U3OiBufQm,https://api.spotify.com/v1/tracks/3vEmpJQC2p8h0U3OiBufQm,https://api.spotify.com/v1/audio-analysis/3vEmpJQC2p8h0U3OiBufQm,234333,4,"['art pop', 'electronica', 'experimental pop', 'experimental vocal', 'icelandic experimental', 'icelandic pop', 'icelandic singer-songwriter', 'metropopolis', 'permanent wave', 'trip hop']",pop
Dynamite,1DqdF42leyFIzqNDv9CjId,Taio Cruz,6MF9fzBmfXghAz953czmBC,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,audio_features,1DqdF42leyFIzqNDv9CjId,spotify:track:1DqdF42leyFIzqNDv9CjId,https://api.spotify.com/v1/tracks/1DqdF42leyFIzqNDv9CjId,https://api.spotify.com/v1/audio-analysis/1DqdF42leyFIzqNDv9CjId,203867,4,"['dance pop', 'pop', 'pop rap']",pop
Rock & Roll Queen,75lw5aYrDq0TJsbkqCPRIJ,The Subways,4BntNFyiN3VGG4hhRRZt9d,0.381,0.746,10,-6.598,0,0.0407,0.000172,0.00101,0.111,0.263,141.518,audio_features,75lw5aYrDq0TJsbkqCPRIJ,spotify:track:75lw5aYrDq0TJsbkqCPRIJ,https://api.spotify.com/v1/tracks/75lw5aYrDq0TJsbkqCPRIJ,https://api.spotify.com/v1/audio-analysis/75lw5aYrDq0TJsbkqCPRIJ,172533,4,"['dance-punk', 'garage rock', 'garage rock revival']",rock
Killing In The Name,59WN2psjkt1tyaxjspN8fp,Rage Against The Machine,2d0hyoQ5ynDBnkvAbJKORj,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,audio_features,59WN2psjkt1tyaxjspN8fp,spotify:track:59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/audio-analysis/59WN2psjkt1tyaxjspN8fp,313573,4,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'hard rock', 'nu metal', 'political hip hop', 'post-grunge', 'rap metal', 'rap rock', 'rock']",rock
Pittsburgh (No Intro),6RcsAN8XF5KX6mMh6dum8e,The Amity Affliction,6kNKUYGn6VNGsRoXmyoDPK,0.386,0.943,5,-3.033,0,0.185,0.000133,0.0,0.0928,0.402,148.008,audio_features,6RcsAN8XF5KX6mMh6dum8e,spotify:track:6RcsAN8XF5KX6mMh6dum8e,https://api.spotify.com/v1/tracks/6RcsAN8XF5KX6mMh6dum8e,https://api.spotify.com/v1/audio-analysis/6RcsAN8XF5KX6mMh6dum8e,239127,4,"['australian metalcore', 'melodic metalcore', 'metalcore']",metal
Wildfire,2WMRd3xAb9FwXopCRNWDq1,SBTRKT,1O10apSOoAPjOu6UhUNmeI,0.835,0.481,0,-7.188,0,0.387,0.0308,0.000501,0.0896,0.34,139.581,audio_features,2WMRd3xAb9FwXopCRNWDq1,spotify:track:2WMRd3xAb9FwXopCRNWDq1,https://api.spotify.com/v1/tracks/2WMRd3xAb9FwXopCRNWDq1,https://api.spotify.com/v1/audio-analysis/2WMRd3xAb9FwXopCRNWDq1,201000,4,"['chillwave', 'electronica', 'future garage', 'indie soul', 'indietronica']",electro
Some Cut (feat. Cutty),71mDjdeVK9sqXmamMHaAfX,Trillville,3jahzTuztFVegfKXChatkY,0.901,0.512,1,-6.468,1,0.37,0.00273,0.0,0.0979,0.638,85.012,audio_features,71mDjdeVK9sqXmamMHaAfX,spotify:track:71mDjdeVK9sqXmamMHaAfX,https://api.spotify.com/v1/tracks/71mDjdeVK9sqXmamMHaAfX,https://api.spotify.com/v1/audio-analysis/71mDjdeVK9sqXmamMHaAfX,283387,4,"['atl hip hop', 'crunk', 'dirty south rap', 'old school atlanta hip hop']",hip hop
Raining Blood,01Mpj13vURSO3cCLprPt5T,Slayer,1IQ2e1buppatiN1bxUVkrk,0.294,0.995,1,-4.383,0,0.168,0.000489,0.331,0.128,0.0379,88.777,audio_features,01Mpj13vURSO3cCLprPt5T,spotify:track:01Mpj13vURSO3cCLprPt5T,https://api.spotify.com/v1/tracks/01Mpj13vURSO3cCLprPt5T,https://api.spotify.com/v1/audio-analysis/01Mpj13vURSO3cCLprPt5T,254400,4,"['alternative metal', 'death metal', 'groove metal', 'hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",metal
Cherry Bomb,7cdnq45E9aP2XDStHg5vd7,The Runaways,5eTq3PxbOh5vgeRXKNqPyV,0.501,0.813,11,-8.192,1,0.0639,0.0455,4.75e-05,0.131,0.495,136.59,audio_features,7cdnq45E9aP2XDStHg5vd7,spotify:track:7cdnq45E9aP2XDStHg5vd7,https://api.spotify.com/v1/tracks/7cdnq45E9aP2XDStHg5vd7,https://api.spotify.com/v1/audio-analysis/7cdnq45E9aP2XDStHg5vd7,138707,4,"['early us punk', 'protopunk', 'riot grrrl']",punk
D.A.N.C.E.,2hQCzcb3qyZirWzOD5Yzoj,Justice,1gR0gsQYfi6joyO1dlp76N,0.594,0.961,6,-5.443,0,0.338,0.0463,0.0,0.853,0.531,113.126,audio_features,2hQCzcb3qyZirWzOD5Yzoj,spotify:track:2hQCzcb3qyZirWzOD5Yzoj,https://api.spotify.com/v1/tracks/2hQCzcb3qyZirWzOD5Yzoj,https://api.spotify.com/v1/audio-analysis/2hQCzcb3qyZirWzOD5Yzoj,209987,4,"['alternative dance', 'dance-punk', 'electronica', 'filter house', 'indietronica', 'neo-synthpop', 'new rave']",pop
Flirtin' with Disaster,61BywQA7q8KjpGjp3rHuRv,Molly Hatchet,4ZqBwBVB3dsYWL3d5Spi10,0.273,0.821,9,-6.262,1,0.0433,0.00153,0.0157,0.18,0.739,179.882,audio_features,61BywQA7q8KjpGjp3rHuRv,spotify:track:61BywQA7q8KjpGjp3rHuRv,https://api.spotify.com/v1/tracks/61BywQA7q8KjpGjp3rHuRv,https://api.spotify.com/v1/audio-analysis/61BywQA7q8KjpGjp3rHuRv,299200,4,"['album rock', 'classic rock', 'country rock', 'glam metal', 'hard rock', 'heartland rock', 'southern rock']",rock
Tidal Wave,2Qn5VOL0e2Z7nOgs2URHi6,Longwave,4X3nZlXBKXf4whx4nFiPnu,0.444,0.864,2,-6.29,1,0.0455,0.0505,0.00837,0.114,0.353,121.539,audio_features,2Qn5VOL0e2Z7nOgs2URHi6,spotify:track:2Qn5VOL0e2Z7nOgs2URHi6,https://api.spotify.com/v1/tracks/2Qn5VOL0e2Z7nOgs2URHi6,https://api.spotify.com/v1/audio-analysis/2Qn5VOL0e2Z7nOgs2URHi6,207093,4,['brooklyn indie'],brooklyn indie
You're So Vain,2DnJjbjNTV9Nd5NOa1KGba,Carly Simon,4FtSnMlCVxCswABUmdhwpm,0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,audio_features,2DnJjbjNTV9Nd5NOa1KGba,spotify:track:2DnJjbjNTV9Nd5NOa1KGba,https://api.spotify.com/v1/tracks/2DnJjbjNTV9Nd5NOa1KGba,https://api.spotify.com/v1/audio-analysis/2DnJjbjNTV9Nd5NOa1KGba,258411,4,"['classic rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'singer-songwriter', 'soft rock']",rock
Drop It Like It's Hot,2NBQmPrOEEjA8VbeWOQGxO,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,0.888,0.632,1,-3.872,1,0.219,0.19,0.0,0.101,0.662,91.979,audio_features,2NBQmPrOEEjA8VbeWOQGxO,spotify:track:2NBQmPrOEEjA8VbeWOQGxO,https://api.spotify.com/v1/tracks/2NBQmPrOEEjA8VbeWOQGxO,https://api.spotify.com/v1/audio-analysis/2NBQmPrOEEjA8VbeWOQGxO,266067,4,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",rap
Birdhouse in Your Soul,6pmuu4qSz2WrtGkBjUfyuz,They Might Be Giants,6zB02lwP6L6ZH32nggQiJT,0.61,0.819,8,-8.323,1,0.0666,0.00381,7.92e-06,0.285,0.454,100.057,audio_features,6pmuu4qSz2WrtGkBjUfyuz,spotify:track:6pmuu4qSz2WrtGkBjUfyuz,https://api.spotify.com/v1/tracks/6pmuu4qSz2WrtGkBjUfyuz,https://api.spotify.com/v1/audio-analysis/6pmuu4qSz2WrtGkBjUfyuz,198920,4,"['comic', 'geek rock', 'permanent wave', 'zolo']",comic
Blitzkrieg Bop - 2001 Remastered Version,33iQW2OneB0oNh2NfrAzqW,Ramones,1co4F2pPNH8JjTutZkmgSm,0.547,0.733,9,-6.558,1,0.0433,0.0103,0.131,0.117,0.962,176.198,audio_features,33iQW2OneB0oNh2NfrAzqW,spotify:track:33iQW2OneB0oNh2NfrAzqW,https://api.spotify.com/v1/tracks/33iQW2OneB0oNh2NfrAzqW,https://api.spotify.com/v1/audio-analysis/33iQW2OneB0oNh2NfrAzqW,133440,4,"['alternative rock', 'early us punk', 'permanent wave', 'punk', 'rock']",punk
Queen,52WTLETEHs5jwCr7LCq0VW,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,0.418,0.547,1,-4.932,1,0.0295,0.211,0.0443,0.187,0.13,131.99,audio_features,52WTLETEHs5jwCr7LCq0VW,spotify:track:52WTLETEHs5jwCr7LCq0VW,https://api.spotify.com/v1/tracks/52WTLETEHs5jwCr7LCq0VW,https://api.spotify.com/v1/audio-analysis/52WTLETEHs5jwCr7LCq0VW,230720,4,"['art pop', 'chamber pop', 'indie rock', 'indietronica', 'neo-synthpop', 'seattle indie']",pop
Friday I'm in Love,263aNAQCeFSWipk896byo6,The Cure,7bu3H8JO7d0UbMoVzbo70s,0.526,0.762,0,-12.437,0,0.0342,0.000972,0.000116,0.338,0.505,136.203,audio_features,263aNAQCeFSWipk896byo6,spotify:track:263aNAQCeFSWipk896byo6,https://api.spotify.com/v1/tracks/263aNAQCeFSWipk896byo6,https://api.spotify.com/v1/audio-analysis/263aNAQCeFSWipk896byo6,214400,4,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",rock
Name on a Matchbook,2KaLy2FmUAGLfNsoMXJWVj,Springtime Carnivore,0EikLJdrz7f8ocaHztUO0S,0.494,0.889,11,-4.175,0,0.0354,0.0414,0.791,0.338,0.628,128.052,audio_features,2KaLy2FmUAGLfNsoMXJWVj,spotify:track:2KaLy2FmUAGLfNsoMXJWVj,https://api.spotify.com/v1/tracks/2KaLy2FmUAGLfNsoMXJWVj,https://api.spotify.com/v1/audio-analysis/2KaLy2FmUAGLfNsoMXJWVj,256400,4,['la indie'],la indie
